GameID,Date,Year,Home_team,Away_Team,Home_winner?,Away_Winner?,Ratio A/T,APG,BKPG,RPG DEF,FG%,OPP FG%,FT%,RPG OFF,PFPG,OPP RPG,RPG,REB MAR,OPP PPG,PPG,SCR MAR,STPG,Pct (W/L),3FG% OPP,3FG%,TO MAR
2ddf1190-e096-4afc-a547-e456f82f6c1a,11-10-2017,2017,NC State,VMI,TRUE,FALSE,0.52,4.2,0.8,-1.29,7.2,2.1,-4.4,2.62,0.5,-2.9,1.3,4.2,1.3,16.2,14.9,0,33.6,-2.4,5.2,1
ff2aa591-7f3b-49ce-ab9e-5aedcd359270,11-10-2017,2017,Georgia,Bryant,TRUE,FALSE,-0.08,-1.3,3.3,4.93,1,-9.9,-0.6,2.24,-3.2,-5.9,7.1,13,-16.6,-1.9,14.7,-2.3,44.8,-7.3,-2.5,0.4
3ad98a39-ede8-4180-8855-d3c926d1d194,11-10-2017,2017,Wisconsin,S. Carolina St.,TRUE,FALSE,0.37,1.5,1.1,-1.43,2.2,-3.3,0.2,-2.38,-2.6,-6.6,-3.8,2.8,-17.1,-6.8,10.4,0.2,14.2,-1.6,0.1,2.9
fa69c8b9-aad7-446c-a59d-8b9d5e692b16,11-10-2017,2017,Indiana,Indiana State,FALSE,TRUE,0.32,2.4,0.9,-1.78,3.4,-0.2,-4.8,0.74,-1.7,-0.8,-1,-0.2,-2.4,-0.6,1.8,-1.1,9.7,1.2,-3.8,-1.9
bc0f835f-ce00-4c17-9a9d-8bc3cd735d66,11-10-2017,2017,Boston U.,Northeastern,FALSE,TRUE,-0.18,-2.3,0.8,-1.03,-2.2,0.2,-9.4,1.89,-0.3,2.2,0.9,-1.4,3,-4.4,-7.4,0.7,-21.3,5.5,-0.3,3.4
4ed55203-3380-410b-9d11-27cbcb75f9d1,11-10-2017,2017,Rhode Island,UNC Asheville,TRUE,FALSE,0.32,-0.1,0.1,-2.88,-2,0.3,-4.4,3.2,0.5,1.3,0.3,-1,-4.7,0.8,5.5,-0.1,14.7,-1.1,-4.2,1
458de64b-d0fa-47b4-ba7b-584980a27652,11-10-2017,2017,Geo. Washington,Howard,TRUE,FALSE,0.13,1,2.1,-0.37,2.3,-1.4,0.1,-0.66,-5.9,-7,-1.1,5.9,-10.1,-6.8,3.4,0.3,15.2,0.8,-2.6,0.1
7d25679d-7e22-4bcd-9ce4-f27077267acd,11-10-2017,2017,Hartford,Cent. Conn. St.,TRUE,FALSE,0.24,0.7,0.4,-0.34,0.1,0.1,-2.1,-1.61,1,2.6,-1.9,-4.7,-1.7,2.7,4.2,1.1,13.8,-2.2,1.6,-0.3
b84606c7-79b9-468c-80c3-3a6fc878215c,11-10-2017,2017,LSU,Alcorn St.,TRUE,FALSE,0.31,1.1,0.6,-1.3,4.2,2.2,2.4,0.08,-1.4,-2.6,-1.2,1.4,0,7.4,7.4,1.3,20.1,0.6,0.3,1.8
b8c7c905-a1bb-4e0a-a4a7-7fdf0fe45db4,11-10-2017,2017,UAB,Jacksonville,TRUE,FALSE,0.4,4.4,0.4,2.24,3.8,-2,9.2,0.09,-1.4,-5.5,2.3,7.9,-5.4,3.9,9.4,-1.4,15.1,2.9,0.9,-2
21b143bb-f02d-4d3b-bfea-f5a55d00af11,11-10-2017,2017,SMU,UMBC,TRUE,FALSE,0,-0.8,0.6,-2.37,0.1,-1.7,4,1.39,-0.1,-2.6,-1,1.6,-4.4,-3.6,0.8,-0.1,-17.9,-0.6,-0.8,0.8
f5e4041e-3f8d-491f-af54-0d1430aa0c07,11-10-2017,2017,Rider,Hampton,TRUE,FALSE,-0.1,-0.5,-0.1,-2.2,1.9,2.7,-16.9,2.16,0.7,-1.1,0,1.1,3.9,4.7,0.7,2.3,14.5,4.3,4.2,-5.1
f9576809-f44d-4a3c-9c0b-a63965650b5e,11-10-2017,2017,St. Bonaventure,Niagara,FALSE,TRUE,0.15,1.9,-0.9,-1.56,0.7,-3.9,2.4,-1.88,2.3,-4.1,-3.5,0.6,-13.1,-6.2,6.9,1.8,18.9,-5.9,2.8,3.4
39695310-5b09-4df6-89ac-10f82334ab7b,11-10-2017,2017,UIC,N.C. Central,TRUE,FALSE,-0.27,-3.1,3.4,1.83,-1.1,-1.1,4.7,-1.55,0.5,3.7,0.2,-3.4,2.8,3.2,0.4,1.7,1.3,-1,1.6,-5.1
8670ff90-802d-40a2-bd94-e156fce02bc0,11-10-2017,2017,Purdue,SIU Edwardsville,TRUE,FALSE,0.59,3.8,2.2,3.05,7.6,-6.3,3.6,-2.18,-5.8,-3.4,0.9,4.3,-13,10.7,23.8,0.9,51.1,-3.6,9.6,-4.1
92e55696-f336-4131-a306-9a22814bfd34,11-10-2017,2017,Marshall,UT Martin,TRUE,FALSE,0.42,4.5,2.4,2.45,2,1.6,3.9,-1.8,-1.2,5.1,0.6,-4.3,6.4,14.9,8.5,0.1,37.1,-0.2,3.5,-3.1
8f250041-5052-4962-9cf5-b20a15580dac,11-10-2017,2017,Wichita State,UMKC,TRUE,FALSE,0.72,7.4,1.3,4.64,6.9,-3.3,2.8,4.14,-3.7,-9.8,8.8,18.6,-4.9,12.5,17.2,-1.6,44.5,1,4.5,2.3
e51c2fe5-54c0-4ad0-b40b-3c2aaf61be17,11-10-2017,2017,Loyola (IL),Wright St.,TRUE,FALSE,0.26,2.5,0.2,-0.13,7.5,-0.1,1,-3.91,-2,-3.2,-4.1,-0.8,-3.3,0.2,3.6,-0.3,12.8,-2.3,5.9,-0.8
5158c896-3864-48a6-9753-74e2513620ec,11-10-2017,2017,Western Ky.,Missouri St.,FALSE,TRUE,0.06,0.7,-0.4,-0.99,5.6,1.9,0.2,-2.11,-2.4,0.6,-3.1,-3.7,3.8,8.3,4.5,2.5,16.6,2.5,2,-2
3873bf25-c495-4628-86a1-65793450ffae,11-10-2017,2017,Minnesota,USC Upstate,TRUE,FALSE,0.11,0.6,2.4,3.9,0,-6.3,-2.2,1.06,-2.3,-0.2,5,5.2,-10,-0.6,9.4,-0.4,25,-3.7,0.1,-3.1
616f23f3-f872-4ac6-92b0-c77419692bf9,11-10-2017,2017,Houston,McNeese St.,TRUE,FALSE,0.43,3.5,-1.6,-0.36,2.7,-3.9,1.2,0.02,3.6,-6.8,-0.3,6.5,-12.3,1.7,14,1,37.8,-2.3,3.9,-1.6
