GameID,Date,Year,Home_team,Away_Team,Home_winner?,Away_Winner?
2181536,11-07-2022,2022,Prairie View,Kansas Christian,True,False
2181538,11-07-2022,2022,Baylor,Mississippi Val.,True,False
2181498,11-07-2022,2022,Middle Tenn.,Brescia,True,False
2181480,11-07-2022,2022,Stanford,Pacific,True,False
2181540,11-07-2022,2022,James Madison,Valley Forge,True,False
2335293,11-07-2022,2022,Morehouse,Harvard,False,True
2181545,11-07-2022,2022,UNC Greensboro,JWU (Charlotte),True,False
2181547,11-07-2022,2022,Oakland,Defiance,True,False
2181543,11-07-2022,2022,Milwaukee,MSOE,True,False
2181494,11-07-2022,2022,UMass Lowell,Fisher,True,False
2181499,11-07-2022,2022,Charlotte,Coppin St.,True,False
2181552,11-07-2022,2022,Butler,New Orleans,True,False
2181550,11-07-2022,2022,Michigan,Purdue Fort Wayne,True,False
2181553,11-07-2022,2022,Villanova,La Salle,True,False
2181555,11-07-2022,2022,Kentucky,Howard,True,False
2181568,11-07-2022,2022,App State,Warren Wilson,True,False
2181558,11-07-2022,2022,St. John's (NY),Merrimack,True,False
2181532,11-07-2022,2022,Northern Ky.,Kent St.,False,True
2335284,11-07-2022,2022,Wofford,Bob Jones,True,False
2181546,11-07-2022,2022,Denver,Idaho,True,False
2181549,11-07-2022,2022,Iowa,Bethune-Cookman,True,False
2181574,11-07-2022,2022,Bowling Green,Air Force,True,False
2181578,11-07-2022,2022,George Washington,Virginia St.,True,False
2181582,11-07-2022,2022,Bryant,Thomas (ME),True,False
2181584,11-07-2022,2022,Ball St.,Earlham,True,False
2181585,11-07-2022,2022,Pittsburgh,UT Martin,True,False
2181586,11-07-2022,2022,Fla. Atlantic,Lynn,True,False
2181587,11-07-2022,2022,St. Bonaventure,Saint Francis (PA),True,False
2181589,11-07-2022,2022,Duke,Jacksonville,True,False
2181588,11-07-2022,2022,Towson,UAlbany,True,False
2181591,11-07-2022,2022,Queens (NC),Marshall,True,False
2181594,11-07-2022,2022,Coastal Carolina,St. Mary's (MD),True,False
2181592,11-07-2022,2022,Liberty,Regent,True,False
2181593,11-07-2022,2022,Charleston So.,Toccoa Falls,True,False
2181595,11-07-2022,2022,N.C. A&T,Edward Waters,True,False
2181596,11-07-2022,2022,Rutgers,Columbia,True,False
2181597,11-07-2022,2022,Temple,Wagner,False,True
2181599,11-07-2022,2022,West Virginia,Mount St. Mary's,True,False
2181601,11-07-2022,2022,Penn St.,Winthrop,True,False
2181602,11-07-2022,2022,Cleveland St.,Notre Dame (OH),False,True
