GameID,Date,Year,Home_team,Away_Team,Home_winner?,Away_Winner?
1977153,11-09-2021,2021,Manhattan,Manhattanville,True,False
1977233,11-09-2021,2021,Washington St.,Alcorn,True,False
1977237,11-09-2021,2021,Villanova,Mount St. Mary's,True,False
1977185,11-09-2021,2021,South Fla.,Bethune-Cookman,True,False
1977234,11-09-2021,2021,California,UC San Diego,False,True
1994171,11-09-2021,2021,Wofford,Bob Jones,True,False
1977159,11-09-2021,2021,Indiana,Eastern Mich.,True,False
1977166,11-09-2021,2021,Middle Tenn.,Brescia,True,False
1977182,11-09-2021,2021,Ohio St.,Akron,True,False
1977195,11-09-2021,2021,Winthrop,Mary Baldwin,True,False
1977215,11-09-2021,2021,VCU,Saint Peter's,True,False
1977236,11-09-2021,2021,Little Rock,Southern Ill.,True,False
2139988,11-09-2021,2021,Morgan St.,St. Mary's (MD),True,False
1977187,11-09-2021,2021,UConn,Central Conn. St.,True,False
1977250,11-09-2021,2021,Radford,Emory & Henry,True,False
1977252,11-09-2021,2021,Butler,IUPUI,True,False
1977162,11-09-2021,2021,Furman,North Greenville,True,False
1977163,11-09-2021,2021,Dayton,UIC,True,False
1977167,11-09-2021,2021,Charlotte,Monmouth,True,False
1977169,11-09-2021,2021,Pittsburgh,The Citadel,False,True
1977176,11-09-2021,2021,Purdue,Bellarmine,True,False
1977181,11-09-2021,2021,Merrimack,Emerson,True,False
1977184,11-09-2021,2021,North Carolina,Loyola Maryland,True,False
1977189,11-09-2021,2021,Ga. Southern,Ball St.,True,False
1977193,11-09-2021,2021,UAlbany,Towson,False,True
1977194,11-09-2021,2021,Rhode Island,Boston U.,True,False
1977203,11-09-2021,2021,Syracuse,Lafayette,True,False
1977208,11-09-2021,2021,Colgate,Northeastern,True,False
1977211,11-09-2021,2021,Georgia,FIU,True,False
1977213,11-09-2021,2021,Ohio,Belmont,True,False
1977227,11-09-2021,2021,Davidson,Delaware,True,False
1977229,11-09-2021,2021,Northern Ky.,Wheeling,True,False
1977230,11-09-2021,2021,South Carolina,USC Upstate,True,False
1977232,11-09-2021,2021,Michigan St.,Kansas,False,True
1977235,11-09-2021,2021,Oregon,Texas Southern,True,False
1977239,11-09-2021,2021,Arizona St.,Portland,True,False
1977240,11-09-2021,2021,Howard,Dist. Columbia,True,False
1977246,11-09-2021,2021,Valparaiso,Toledo,False,True
1977253,11-09-2021,2021,Tennessee,UT Martin,True,False
1977257,11-09-2021,2021,Georgia St.,Brewton-Parker,True,False
1977260,11-09-2021,2021,VMI,Carlow,True,False
2140010,11-09-2021,2021,Harvard,Morehouse,True,False
1977270,11-09-2021,2021,Maryland,Quinnipiac,True,False
1977277,11-09-2021,2021,Duquesne,Rider,True,False
1977282,11-09-2021,2021,George Mason,Stony Brook,True,False
1977285,11-09-2021,2021,Jacksonville,Trinity Baptist,True,False
1977290,11-09-2021,2021,Iona,App State,True,False
1977291,11-09-2021,2021,New Hampshire,St. Joseph's (ME),True,False
1977292,11-09-2021,2021,West Virginia,Oakland,True,False
1977296,11-09-2021,2021,Holy Cross,Regis (MA),True,False
1977297,11-09-2021,2021,Princeton,Rutgers-Camden,True,False
1977308,11-09-2021,2021,Providence,Fairfield,True,False
1977311,11-09-2021,2021,UMass Lowell,Rivier,True,False
1977312,11-09-2021,2021,Richmond,N.C. Central,True,False
1977314,11-09-2021,2021,UNC Greensboro,N.C. A&T,True,False
1977317,11-09-2021,2021,Wright St.,Lake Erie,True,False
1977318,11-09-2021,2021,East Carolina,South Carolina St.,True,False
1977321,11-09-2021,2021,Brown,Salve Regina,True,False
1977320,11-09-2021,2021,St. Bonaventure,Siena,True,False
1977325,11-09-2021,2021,Yale,Vassar,True,False
1977331,11-09-2021,2021,Cincinnati,Evansville,True,False
1977333,11-09-2021,2021,Wagner,Hartford,True,False
1977335,11-09-2021,2021,Eastern Ky.,Georgetown (KY),True,False
1977339,11-09-2021,2021,Delaware St.,Cairn,True,False
1977340,11-09-2021,2021,Clemson,Presbyterian,True,False
2140086,11-09-2021,2021,Hampton,Mid-Atlantic Christ.,True,False
1977369,11-09-2021,2021,Army West Point,SUNY New Paltz,True,False
1999455,11-09-2021,2021,Charleston So.,JWU (Charlotte),True,False
1977152,11-09-2021,2021,Ole Miss,New Orleans,True,False
1977164,11-09-2021,2021,Georgia Tech,Miami (OH),False,True
1977172,11-09-2021,2021,Miami (FL),Canisius,True,False
1977173,11-09-2021,2021,Western Caro.,Bowling Green,True,False
1977178,11-09-2021,2021,Massachusetts,UMBC,True,False
1977188,11-09-2021,2021,SFA,LSU-Alexandria,True,False
1977225,11-09-2021,2021,Bryant,Fisher,True,False
1977248,11-09-2021,2021,UAB,UNC Asheville,True,False
1977251,11-09-2021,2021,UIW,Texas St.,False,True
1977357,11-09-2021,2021,Binghamton,Cornell,False,True
1977359,11-09-2021,2021,Coastal Carolina,Ferrum,True,False
1977362,11-09-2021,2021,FGCU,Fla. National,True,False
1977363,11-09-2021,2021,Stetson,Fla. Memorial,True,False
1977371,11-09-2021,2021,Xavier,Niagara,True,False
1977373,11-09-2021,2021,Purdue Fort Wayne,Earlham,True,False
1977376,11-09-2021,2021,Campbell,William Peace,True,False
1977370,11-09-2021,2021,St. John's (NY),Mississippi Val.,True,False
1977154,11-09-2021,2021,Wisconsin,St. Francis Brooklyn,True,False
1977155,11-09-2021,2021,Arkansas,Mercer,True,False
1977156,11-09-2021,2021,Boston College,Dartmouth,True,False
2139901,11-09-2021,2021,Loyola Chicago,Coppin St.,True,False
1977160,11-09-2021,2021,George Washington,Saint Francis (PA),True,False
1977161,11-09-2021,2021,Missouri,Central Mich.,True,False
1977168,11-09-2021,2021,Florida,Elon,True,False
1977170,11-09-2021,2021,Virginia Tech,Maine,True,False
1977175,11-09-2021,2021,Southern Miss.,William Carey,True,False
1977177,11-09-2021,2021,Houston,Hofstra,True,False
1977180,11-09-2021,2021,Western Ky.,Alabama St.,True,False
1977190,11-09-2021,2021,Utah,Abilene Christian,True,False
1977191,11-09-2021,2021,Wichita St.,Jacksonville St.,True,False
1977196,11-09-2021,2021,Illinois St.,UNCW,True,False
1977197,11-09-2021,2021,Saint Louis,Central Ark.,True,False
1977199,11-09-2021,2021,Fordham,Columbia,True,False
1977200,11-09-2021,2021,Texas Tech,North Florida,True,False
1977201,11-09-2021,2021,Illinois,Jackson St.,True,False
1977202,11-09-2021,2021,Minnesota,Kansas City,True,False
1977205,11-09-2021,2021,Nebraska,Western Ill.,False,True
1977206,11-09-2021,2021,Northwestern,Eastern Ill.,True,False
1977207,11-09-2021,2021,Memphis,Tennessee Tech,True,False
1977209,11-09-2021,2021,Lamar University,Wiley,True,False
1977210,11-09-2021,2021,Oklahoma St.,UT Arlington,True,False
1977214,11-09-2021,2021,Saint Joseph's,UMES,True,False
1977217,11-09-2021,2021,Oklahoma,Northwestern St.,True,False
2139962,11-09-2021,2021,Alabama A&M,Tennessee St.,True,False
1977221,11-09-2021,2021,UNI,Nicholls,False,True
1977223,11-09-2021,2021,South Alabama,Spring Hill,True,False
1977258,11-09-2021,2021,Missouri St.,Southeast Mo. St.,False,True
1977259,11-09-2021,2021,Chicago St.,St. Thomas (MN),True,False
1977263,11-09-2021,2021,UTRGV,Tex. A&M Int'l,True,False
1977265,11-09-2021,2021,Iowa St.,Kennesaw St.,True,False
1977279,11-09-2021,2021,Auburn,Morehead St.,True,False
1977280,11-09-2021,2021,A&M-Corpus Christi,Texas Lutheran,True,False
1977288,11-09-2021,2021,Omaha,Hastings,True,False
1977300,11-09-2021,2021,North Dakota St.,Concordia-M'head,True,False
1977299,11-09-2021,2021,Murray St.,Cumberland (TN),True,False
1977307,11-09-2021,2021,Rice,Pepperdine,True,False
1977313,11-09-2021,2021,Creighton,Ark.-Pine Bluff,True,False
1977329,11-09-2021,2021,SMU,McNeese,True,False
1977330,11-09-2021,2021,Green Bay,Indiana St.,False,True
1977344,11-09-2021,2021,LSU,ULM,True,False
1977347,11-09-2021,2021,Tulane,Southeastern La.,True,False
1977346,11-09-2021,2021,North Dakota,Milwaukee,False,True
1977348,11-09-2021,2021,Lipscomb,Birmingham-So.,True,False
1977379,11-09-2021,2021,NC State,Bucknell,True,False
1977380,11-09-2021,2021,Drexel,Neumann,True,False
1977383,11-09-2021,2021,American,Marist,True,False
1977385,11-09-2021,2021,La Salle,Sacred Heart,False,True
1977372,11-09-2021,2021,High Point,Shenandoah,True,False
1977374,11-09-2021,2021,Norfolk St.,Bridgewater (VA),True,False
1994167,11-09-2021,2021,Drake,Coe,True,False
2003451,11-09-2021,2021,Samford,Maryville (TN),True,False
2158045,11-09-2021,2021,Samford,Maryville (TN),True,False
1977336,11-09-2021,2021,Austin Peay,Tenn. Southern,True,False
1977174,11-09-2021,2021,Arkansas St.,Harding,True,False
1977216,11-09-2021,2021,Troy,Carver,True,False
1977219,11-09-2021,2021,North Texas,Okla. Christian,True,False
1977351,11-09-2021,2021,UTSA,Trinity (TX),True,False
1977358,11-09-2021,2021,Marquette,SIUE,True,False
1977367,11-09-2021,2021,Louisiana,West Florida,True,False
1977165,11-09-2021,2021,Gonzaga,Dixie St.,True,False
1977171,11-09-2021,2021,Louisville,Southern U.,True,False
1977179,11-09-2021,2021,Virginia,Navy,False,True
1977183,11-09-2021,2021,UTEP,Western N.M.,True,False
1977186,11-09-2021,2021,Texas,Houston Baptist,True,False
1977192,11-09-2021,2021,Alabama,Louisiana Tech,True,False
1977212,11-09-2021,2021,Boise St.,Utah Valley,True,False
1977220,11-09-2021,2021,Santa Clara,Cal St. Fullerton,True,False
1977247,11-09-2021,2021,Southern California,CSUN,True,False
1977256,11-09-2021,2021,Grand Canyon,Grambling,True,False
1977261,11-09-2021,2021,Southern Utah,Bethesda (CA),True,False
1977272,11-09-2021,2021,Denver,Regis (CO),True,False
1977309,11-09-2021,2021,New Mexico St.,UC Irvine,True,False
1977328,11-09-2021,2021,Idaho St.,Eastern Ore.,True,False
1977361,11-09-2021,2021,Weber St.,Western Colo.,True,False
1977386,11-09-2021,2021,South Dakota St.,Bradley,True,False
1977198,11-09-2021,2021,Utah St.,UC Davis,False,True
1977228,11-09-2021,2021,Colorado St.,Oral Roberts,True,False
1977231,11-09-2021,2021,Duke,Kentucky,True,False
1977368,11-09-2021,2021,Montana,Dickinson St.,True,False
1977158,11-09-2021,2021,San Diego St.,UC Riverside,True,False
1977204,11-09-2021,2021,Nevada,Eastern Wash.,True,False
1977262,11-09-2021,2021,Washington,NIU,False,True
1977269,11-09-2021,2021,Sacramento St.,William Jessup,True,False
1977274,11-09-2021,2021,Saint Mary's (CA),Prairie View,True,False
1977301,11-09-2021,2021,LMU (CA),Chattanooga,False,True
1977310,11-09-2021,2021,Stanford,Tarleton St.,True,False
1977319,11-09-2021,2021,Fresno St.,Fresno Pacific,True,False
1977322,11-09-2021,2021,Cal Poly,Westcliff,True,False
1977323,11-09-2021,2021,BYU,Cleveland St.,True,False
1977326,11-09-2021,2021,California Baptist,San Fran. St.,True,False
1977375,11-09-2021,2021,Iowa,Longwood,True,False
1977382,11-09-2021,2021,Colorado,Montana St.,True,False
1977224,11-09-2021,2021,San Diego,La Verne,True,False
1977226,11-09-2021,2021,San Francisco,LIU,True,False
1977342,11-09-2021,2021,Oregon St.,Portland St.,True,False
1977387,11-09-2021,2021,Arizona,Northern Ariz.,True,False
1977384,11-09-2021,2021,UCLA,CSU Bakersfield,True,False
1977404,11-10-2021,2021,Howard,Regent,True,False
1977393,11-10-2021,2021,Michigan,Buffalo,True,False
1977390,11-10-2021,2021,Rutgers,Lehigh,True,False
