GameID,Date,Year,Home_team,Away_Team,Home_winner?,Away_Winner?,Home_Seed,Away_Seed,Ratio A/T,APG,BKPG,RPG DEF,FG%,OPP FG%,FT%,RPG OFF,PFPG,OPP RPG,RPG,REB MAR,OPP PPG,PPG,SCR MAR,STPG,Pct (W/L),3FG% OPP,3FG%,TO MAR
2252417,03-17-2023,2023,Marquette,Vermont,TRUE,FALSE,2,15,0.16,3.6,0.1,-1.82,1.2,-0.2,2.1,2.34,1.4,3,0.51,-2.5,3.4,7,3.4,3,13,-1.1,-0.5,3
2252420,03-17-2023,2023,Iowa State,Pittsburgh,FALSE,TRUE,6,11,-0.2,-0.3,-1.2,-3.88,-0.4,0,-8.9,1.41,2.9,-4.1,-2.47,1.7,-7.1,-8,-0.4,4,-9.1,1,-2.9,3.4
2252426,03-17-2023,2023,Creighton,NC State,TRUE,FALSE,6,11,-0.01,2.9,-0.4,3.47,1.9,-2.3,6.1,-3.05,-4.3,-1.7,0.41,2.1,-2.4,-1,1.1,-3,-2.7,2,0.7,-5.7
2252425,03-17-2023,2023,UConn,Iona,TRUE,FALSE,4,13,-0.06,2.6,-0.6,1.87,0.5,-1.2,2.9,1.89,1.5,-4.8,3.76,8.7,-1.5,3,4.1,-1,2.4,0,0.1,-4.2
2252414,03-17-2023,2023,Purdue,FDU,FALSE,TRUE,1,16,0.12,0.8,1.7,3.59,0.5,-5.6,-0.8,0.75,-5.1,-6.1,4.34,10.4,-11.5,-5,6.7,-3,26.1,-3.6,-2.3,-4.9
2252418,03-17-2023,2023,Kentucky,Providence,TRUE,FALSE,6,11,0.03,0.5,-0.8,-0.47,-0.2,-1.1,-3.6,1.76,1,-2.3,1.29,3.6,-3.2,-3,0.4,0,1.1,-1.4,0.1,-0.6
2252429,03-17-2023,2023,Gonzaga,Grand Canyon,TRUE,FALSE,3,14,0.47,3.7,0.2,0.37,5.9,3.3,-2.3,0.24,-1.4,-2,0.61,2.6,6.1,11,4.9,2,17.1,3.2,-0.4,3.7
2252422,03-17-2023,2023,Miami (Fla.),Drake,TRUE,FALSE,5,12,0,0.8,0.5,-3.42,1.1,4.3,1.7,2.44,-0.7,-0.6,-0.98,-0.4,8,4,-3.8,2,1.3,2.8,-0.2,-0.1
2252415,03-17-2023,2023,Memphis,Florida Atlantic,FALSE,TRUE,8,9,-0.05,1.2,1.9,-2.56,1.3,-0.2,2.8,-0.5,2.5,2.3,-3.06,-5.4,6.5,2,-4.9,2,-15.4,-1.5,-1.3,1.3
2252419,03-17-2023,2023,Kansas State,Montana State,TRUE,FALSE,3,14,0.17,4.5,-0.2,0.12,-0.8,-0.8,-0.6,1.55,-0.4,3.2,1.67,-1.6,3,2,-0.7,2,0.8,-3.1,0.7,-0.6
2252428,03-17-2023,2023,TCU,Arizona State,TRUE,FALSE,6,11,0.14,1.8,0,-1.22,3.2,2.8,1,0.52,-2.1,-3.5,-0.7,2.8,0.4,4,3.7,1,-1,-3.3,-1.2,1.2
2252423,03-17-2023,2023,Indiana,Kent State,TRUE,FALSE,4,13,0.24,2.9,1.2,1.88,3.6,0.4,-1.5,-1.86,-1.7,-0.6,0.02,0.8,2.8,-1,-4.2,-3,-14.3,2.3,3.2,-4.7
2252432,03-18-2023,2023,San Diego State,Furman,TRUE,FALSE,5,13,-0.39,-3.8,0.7,0.07,-3.9,-3.8,-1.9,1.17,-0.5,-1.2,1.25,2.5,-7.7,-10,-2,0,4.3,-4.6,0.4,-0.7
2252433,03-18-2023,2023,Tennessee,Duke,TRUE,FALSE,4,5,0.17,2.1,-0.9,-1.17,-1.9,-3.3,-5.8,0.89,1.3,1.1,-0.28,-1.4,-5.7,-1,4.5,3,-5.6,-4,-0.6,3.8
2252431,03-18-2023,2023,Kansas,Arkansas,FALSE,TRUE,1,8,0.32,3.6,-1.2,1.17,0.2,-0.9,2.2,-0.55,-2.7,1.9,0.61,-1.2,0.2,1,1.3,0,16.7,-0.1,3.4,0.3
2252436,03-18-2023,2023,Missouri,Princeton,FALSE,TRUE,7,15,0.3,2.4,-0.7,-7.47,1.7,2.1,4.6,-1.3,2,4.4,-8.77,-13.2,5.9,3,-2.5,5,-0.5,2.8,1.8,7.3
