GameID,Date,Year,Home_team,Away_Team,Home_winner?,Away_Winner?,Home_Seed,Away_Seed,Home Win %,Away Win %,Ratio A/T,APG,BKPG,RPG DEF,FG%,OPP FG%,FT%,RPG OFF,PFPG,OPP RPG,RPG,REB MAR,OPP PPG,PPG,SCR MAR,STPG,Pct (W/L),3FG% OPP,3FG%,TO MAR
2427549,03-22-2024,2024,Marquette,Western Ky.,TRUE,FALSE,2,15,,100.00%,0.62,2.6,0,-5.27,1,1.1,-0.4,-1.76,-3.1,-0.9,-7,-6.1,-4.4,-2.3,2.1,0.9,6.8,2,1.8,4.3
2427556,03-22-2024,2024,Clemson,New Mexico,TRUE,FALSE,6,11,,100.00%,-0.05,-0.1,-1.1,0.31,0.8,-0.4,8.1,-3.49,-1.8,-2.1,-3.2,-1.1,0.8,-4.3,-5.1,-4.3,-8.7,3.7,2,-5.1
2427552,03-22-2024,2024,UConn,Stetson,TRUE,FALSE,1,16,,100.00%,0.59,5,2.3,1.64,2.9,-4.1,-2.4,1.94,1.4,-4.3,3.6,7.9,-8.4,4,12.4,0.9,26.5,-1.5,-0.3,1.8
2427561,03-22-2024,2024,Auburn,Yale,FALSE,TRUE,4,13,,100.00%,0.09,2.8,2.9,-0.44,0.5,-3.1,4.3,1.23,4.2,2.3,0.8,-1.5,1.4,8.1,6.8,1.4,8.4,-3.4,0.5,0.8
2427548,03-22-2024,2024,Florida,Colorado,FALSE,TRUE,7,10,,100.00%,0.02,-0.9,3.2,0.5,-3.7,0,-6.6,4.62,3.4,5.9,5.1,-0.8,7.3,5.8,-1.5,0.8,-2,0.4,-5.2,1
2427559,03-22-2024,2024,Nebraska,Texas A&M,FALSE,TRUE,8,9,,100.00%,0.21,4,-0.3,2.83,5.3,-2.8,4.5,-7.59,-0.8,3.4,-4.8,-8.2,-0.7,2.8,3.5,-0.8,10.9,-2,7.4,-1.4
2427555,03-22-2024,2024,Duke,Vermont,TRUE,FALSE,4,13,,100.00%,0.09,1.7,-0.2,-1.18,2.6,2.6,0.2,2.82,2,-2.2,1.6,3.8,4.4,7.5,3,0.6,-7.4,1.2,3.3,0.8
2427550,03-22-2024,2024,Purdue,Grambling,TRUE,FALSE,1,16,,100.00%,0.87,8.6,0.7,5.68,4.8,-1.4,1.5,2.5,-1.6,-3.6,8.2,11.7,1.2,15.8,14.7,-1.7,29.1,-2.5,6.9,-1.2
2427563,03-22-2024,2024,Alabama,Charleston,TRUE,FALSE,4,13,,100.00%,-0.2,0.8,1.1,0.12,3.4,0,6.4,-0.22,4.1,0,-0.1,-0.1,8.6,10.3,1.8,1.1,-13.8,-1.7,2,-1.9
2427558,03-22-2024,2024,Houston,Longwood,TRUE,FALSE,1,16,,100.00%,0.43,0,2.1,-1.32,-2.2,-5.7,1.3,0,-0.5,4,-1.4,-5.4,-10.9,-2.6,8.5,2.9,26.4,-4.3,0.4,5.8
2427554,03-22-2024,2024,Wisconsin,James Madison,FALSE,TRUE,5,12,#N/A,#N/A,-0.21,-3.7,-1.4,-3.43,-1.7,4.5,5.1,-1.48,-0.8,-3.1,-5,-1.9,0.7,-9.3,-10.1,-2.8,-28.3,8.3,-1.7,-2.1
2427551,03-22-2024,2024,Utah State,TCU,TRUE,FALSE,8,9,,100.00%,0.14,-0.6,0.3,2.06,2.8,-1,-1.5,-2.78,-0.6,-0.2,-0.7,-0.5,-0.9,0.6,1.5,-2.3,18.2,-4.2,-2.5,-1.3
4e8abf66-2976-4416-841f-22a3487297a7,03-22-2024,2024,State Mary's (Cal.),Grand Canyon,FALSE,TRUE,5,12,,100.00%,0.59,3.8,-1.4,0.06,0.4,-1,-7.5,1.3,-1.7,-5.6,1.3,6.9,-8.2,-5.6,2.6,-1.7,-9.1,-0.9,1.1,-1
2427570,03-23-2024,2024,Arizona,Dayton,TRUE,FALSE,2,7,#N/A,#N/A,0.11,3.8,-0.5,3.84,1.2,0.8,-1.5,5.05,2.9,-0.7,8.9,9.6,5.9,13.2,7.2,2.9,-1.6,1.7,-3.1,1.6
2427571,03-23-2024,2024,Kansas,Gonzaga,FALSE,TRUE,4,5,#N/A,#N/A,-0.07,2.2,-0.1,-0.06,-2.8,-0.1,0.6,-2.91,-1.1,2,-2.9,-4.9,-0.3,-9.6,-9.3,0.4,-9.3,-0.2,-2.5,-1.6
2427566,03-23-2024,2024,North Carolina,Michigan State,TRUE,FALSE,1,9,#N/A,#N/A,-0.27,-1.8,0.2,4.58,-1.2,-0.5,4.8,1.94,0.1,-0.1,6.5,6.6,4.3,8.4,4,-1.4,21.8,-1.4,-0.5,-2.3
2427565,03-23-2024,2024,Iowa State,Washington State,TRUE,FALSE,2,7,#N/A,#N/A,0.32,3.3,-1.7,-3.27,-0.3,-2.2,-0.4,-0.39,-0.3,1.5,-3.7,-5.2,-5.6,1.3,6.9,5.2,6.7,-0.5,0.9,7.1
2427568,03-23-2024,2024,NC State,Oakland,TRUE,FALSE,11,14,#N/A,#N/A,0.05,-1.7,0.7,-0.68,0,0.6,-2.4,-0.17,1.3,1.9,-0.8,-2.7,-0.2,0,0.2,0.7,-6.5,0.9,-0.4,2.8
2427567,03-23-2024,2024,Tennessee,Texas,TRUE,FALSE,2,7,#N/A,#N/A,0.25,1.1,0.2,2.69,-3,-4.4,-0.8,1.56,-0.1,1.6,4.2,2.6,-2,3,4.9,0.7,12.5,-3.5,-2,1.8
2427564,03-23-2024,2024,Illinois,Duquesne,TRUE,FALSE,3,11,#N/A,#N/A,0.07,-0.4,-0.5,3.78,3.4,1.3,2.7,2.37,-1.7,-1.3,6.1,7.6,7.8,13.6,5.9,-3.4,7.9,2.6,1,-3.5
06c5b447-739d-472a-82f2-1805da284778,03-23-2024,2024,Creighton,Oregon,TRUE,FALSE,3,11,#N/A,#N/A,0.27,3.3,0.5,5.37,2.9,-3.3,6.6,-1.63,-5.2,-0.2,3.7,4,-2.2,5.2,7.3,-3.2,4.3,-2.2,2.5,-4.9
2427572,03-24-2024,2024,Marquette,Colorado,TRUE,FALSE,2,10,#N/A,#N/A,0.34,-0.1,1.1,-3.38,-1.5,-1.2,-6.3,-1.39,0.5,5.5,-4.8,-10.3,-1.5,-1,0.5,2.7,2.9,1.8,-3.6,6.8
2427573,03-24-2024,2024,Purdue,Utah State,TRUE,FALSE,1,8,#N/A,#N/A,0.13,2,-0.3,1.6,-0.5,-1.7,0.6,2.45,-2.6,-2.7,4.1,6.7,-0.1,3.6,3.8,-1.1,6.1,2.8,7.7,-2.5
2427575,03-24-2024,2024,Duke,James Madison,TRUE,FALSE,4,12,#N/A,#N/A,0.07,-1,0.7,-1.26,0.2,1.9,1.4,-1.06,-1.4,-2.3,-2.4,-0.1,-1.8,-4.6,-2.8,-2.6,-16.2,3.8,1.2,-2
2427578,03-24-2024,2024,Baylor,Clemson,FALSE,TRUE,3,6,#N/A,#N/A,-0.21,0.1,-0.7,-3.4,1.5,3.6,-5.4,2.2,0.7,-3.9,-1.2,2.7,-0.1,3.1,3.2,2.2,4.1,-0.3,3.4,0.8
