GameID,Date,Year,Home_team,Away_Team,Home_winner?,Away_Winner?
ec3ed79f-0b4b-48d6-b742-82e4c476c357,11-06-2018,2018,Buffalo,St. Francis (Pa.),True,False
3aeb35f4-588b-4475-bf2a-851a84084efc,11-06-2018,2018,Eastern Mich.,Rochester (Mich.),True,False
b4864dd5-835e-4255-8c63-b6bb87464f73,11-06-2018,2018,Morehead State,Ky. Christian,True,False
f552ed16-2486-4d9c-ac9f-2d359e6590d1,11-06-2018,2018,UCF,Rider,True,False
71820434-3647-43f4-8803-aab6c311619c,11-06-2018,2018,Indiana,Chicago State,True,False
98cfa52b-38a7-4761-943f-8eae9e3627f7,11-06-2018,2018,Seton Hall,Wagner,True,False
20060799-02d8-4378-a38c-99a3b2a60c06,11-06-2018,2018,St. John's ,Loyola (Md.),True,False
ff7ad32d-fe60-4d78-8365-505e8f800137,11-06-2018,2018,Providence,Siena,True,False
5f818ce6-535c-4598-9ff3-5bc48fb571c3,11-06-2018,2018,Longwood,Randolph,True,False
e9fe4f67-f69b-4961-bbfd-fea0b0347718,11-06-2018,2018,Notre Dame,UIC,True,False
5f7e433f-9e60-4ba1-8624-37b3175808c0,11-06-2018,2018,Akron,Cedarville,True,False
2b7330b2-aab3-4b6e-ab9e-5d42961733bb,11-06-2018,2018,Bowling Green,Tiffin,True,False
c55b6087-910a-4c38-a3cd-8fda72e47f13,11-06-2018,2018,VCU,Gardner-Webb,True,False
89fb9a3d-992a-47b8-b394-48fd6743b58c,11-06-2018,2018,VMI,Washington (Md.),True,False
2e071369-5378-4149-9c75-eaf161eb8ed7,11-06-2018,2018,Geo. Washington,Stony Brook,False,True
d6f17cae-e127-4a4f-ae22-847a2e09f9fd,11-06-2018,2018,New Hampshire,Rivier,True,False
10b7c1bf-a1a6-4882-adb0-fc7f4642dccd,11-06-2018,2018,Rhode Island,Bryant,True,False
180cbdac-5f89-4a36-bb89-f9184ef51a04,11-06-2018,2018,George Mason,Penn,False,True
884ee995-229b-4809-ac0c-0c1be7ff4492,11-06-2018,2018,Villanova,Morgan State,True,False
3f0ad431-81f9-42c4-b225-eb1f0d24dc61,11-06-2018,2018,Clemson,The Citadel,True,False
4dd07f46-48cf-4ecb-b98e-530eb809ab87,11-06-2018,2018,Furman,Z_Do Not Use_Bob Jones,True,False
872b1910-ce26-418a-bab2-9ed6b6879947,11-06-2018,2018,Georgia State,ETSU,True,False
bf27616d-7fe6-4fa3-acc2-8411459e586d,11-06-2018,2018,Old Dominion,Navy,True,False
9a6d0c52-775f-44bf-ab0d-1fceaf6d52fd,11-06-2018,2018,Northern Kentucky,Wilmington (Ohio),True,False
23530bbc-c3b6-4479-9966-b0bb01ab1973,11-06-2018,2018,Dartmouth,Newbury,True,False
a7ae9c27-b907-46c7-af87-7f11136c8bda,11-06-2018,2018,South Carolina,USC Upstate,True,False
d3b0b753-d9a5-4a6f-96a5-c1801c387d00,11-06-2018,2018,Boston College,Milwaukee,True,False
9d6c040d-c938-4ae2-a574-eaa978a77b9d,11-06-2018,2018,Tennessee,Lenoir-Rhyne,True,False
4a62211f-8d3f-4429-9c8f-c60025ecf2dd,11-06-2018,2018,Illinois State,FGCU,True,False
f8e5acbf-db6c-470b-ada0-3b88a2d53048,11-06-2018,2018,Hampton,Mid-Atlantic Christ.,True,False
643e7ed7-4c63-42e7-b4c1-f3661442ba0d,11-06-2018,2018,Syracuse,Eastern Wash.,True,False
51a7ef77-d5f0-4f12-9c35-b1dbbcb97bcc,11-06-2018,2018,Western Mich.,Detroit Mercy,True,False
bfe61ec9-67fe-42d6-80a7-4b5acdf0579a,11-06-2018,2018,Charlotte,Chattanooga,False,True
e536c94a-0e41-42e1-92cb-752a66b797bd,11-06-2018,2018,Radford,Davis & Elkins,True,False
6c0205ed-24c1-4136-842e-4ea3123799d0,11-06-2018,2018,Purdue,Fairfield,True,False
5e024d51-8a87-467c-b000-3a44b6bba1b7,11-06-2018,2018,Harvard,MIT,True,False
abe0c682-beb5-40c8-a1d4-ffc6e1f7a9a3,11-06-2018,2018,Kansas,Mich. St. ,True,False
cd135d7a-45df-4025-94fc-c763b062f8c5,11-06-2018,2018,Central Mich.,Concordia (Mich.),True,False
fc0dd985-2110-4450-943e-a4f658a5ca80,11-06-2018,2018,Pittsburgh,Youngstown St.,True,False
93cd3b7d-5893-41a8-81e3-840c9e37d4f4,11-06-2018,2018,Charleston,Presbyterian,True,False
f1c0b2bc-fbb5-4e00-9232-da8027095a70,11-06-2018,2018,Wofford,North Carolina,False,True
50fbdc53-90cc-469f-9f94-2553383bbdfb,11-06-2018,2018,Hartford,Cent. Conn. St.,False,True
6b54964a-15a8-4daa-9352-e419eeb1d602,11-06-2018,2018,South Florida,Alabama A&M,True,False
7de2d415-fd6d-4e06-acf6-9a1a20701c5e,11-06-2018,2018,Davidson,Cleveland State,True,False
bc09a793-7a34-43a8-bb51-02b9d1d874e1,11-06-2018,2018,Air Force,John. & Wales (Colo.),True,False
d86767b0-07ca-4c44-9a92-60c3491cebd4,11-06-2018,2018,Abilene Christian,Arlington Baptist,True,False
e098003a-4aeb-4c69-bc43-17b6226bfee7,11-06-2018,2018,S. Carolina St.,,True,
f7b7411a-5196-4883-ba23-ad7d3e782570,11-06-2018,2018,Appalachian St.,Mars Hill,True,False
aaa5f9b6-d63e-4b61-be24-152da6913d22,11-06-2018,2018,NJIT,Colgate,True,False
92e62a61-17d9-4eb5-865a-bd05416563bd,11-06-2018,2018,James Madison,East. Mennonite,True,False
ff500a69-1863-464b-9bc0-3d35c599042c,11-06-2018,2018,Jacksonville,Florida A&M,False,True
89b3a1fc-1954-40ec-aa33-b5a08ce82ea1,11-06-2018,2018,Ball State,Indiana State,True,False
700a50dd-ac13-432c-bba7-5b22485c4b6d,11-06-2018,2018,Massachusetts,UMass Lowell,True,False
851275ce-e7bf-4ea1-82d7-e79678bd2791,11-06-2018,2018,Army West Point,Marist,True,False
2de88900-9986-4391-9740-ddb7e0164fe1,11-06-2018,2018,NC State,Mount St. Mary's,True,False
a9f3f5a6-3074-417f-a689-d9e360333cf0,11-06-2018,2018,Fordham,CCNY,True,False
e40950c0-7323-4e49-ac27-de3f9c87adea,11-06-2018,2018,Holy Cross,Sacred Heart,True,False
